primID   auxID  Station name            Lat.(N)    Long.(E)     Xgrid    Ygrid      Elev  NXpos  NYpos   Last moved Date
123456  123456  1234567890123456789  1234567890  1234567890  12345678  12345678  1234567  12345  12345  1234567890123456
------  ------  -------------------  ----------  ----------  --------  --------  -------  -----  -----  ----------------
000325  000325  ---------              37.14450   128.02530     78.04    117.89    230.0   78.0  118.0  2015.07.13.00:00
000326  000326  ---------              37.54550   127.61120     70.70    126.43    190.2   71.0  126.0  2015.07.13.00:00
000327  000327  ---------              36.65026   127.51199     69.36    106.96    127.5   69.0  107.0  2001.10.25.12:00
000328  000328  ---------              33.24945   126.40608     50.46     32.47     60.9   50.0   32.0  2015.07.13.00:00
000329  000329  ---------              33.44711   126.56521     53.35     36.82    374.7   53.0   37.0  2008.11.26.13:31
000330  000330  ---------              33.27270   126.45010     51.26     32.98    226.0   51.0   33.0  2015.07.13.00:00
000351  000351  ---------              37.89530   126.97890     59.74    133.83    135.0   60.0  134.0  2008.11.07.00:00
000352  000352  ---------              37.71560   126.94360     59.18    129.93    163.0   59.0  130.0  2008.11.07.00:00
000353  000353  ---------              37.84140   127.06830     61.28    132.69     88.0   61.0  133.0  2008.11.07.00:00
000354  000354  ---------              36.96520   127.06234     61.43    113.68     37.0   61.0  114.0  2008.07.16.00:00
000355  000355  ---------              37.11360   127.03640     60.94    116.90     39.0   61.0  117.0  2008.07.16.00:00
000356  000356  ---------              37.04810   127.01830     60.64    115.47     32.0   61.0  115.0  2008.07.16.00:00
000357  000357  ---------              37.01330   126.98170     60.02    114.71     26.0   60.0  115.0  2008.07.16.00:00
000358  000358  ---------              36.96720   126.92140     58.99    113.69     35.0   59.0  114.0  2008.07.16.00:00
000359  000359  ---------              37.85420   127.15920     62.83    132.98    114.0   63.0  133.0  2008.07.16.00:00
000360  000360  ---------              37.78610   127.22830     64.04    131.53    119.0   64.0  132.0  2008.07.16.00:00
